gene_id	gene_name	gene_type	seqnames	start	end	gene_length	strand	scr_1	scr_2	Elf3kd_1	Elf3kd_2
104	ENSMUSG00000000869.12	Il4	protein_coding	chr11	53602982	53618669	15687	-	80	104	180	153
105	ENSMUSG00000000876.11	Pxmp4	protein_coding	chr2	154585758	154603708	17950	-	385	370	524	489
106	ENSMUSG00000000884.17	Gnb1l	protein_coding	chr16	18498713	18566679	67966	+	240	537	153	138
107	ENSMUSG00000000901.17	Mmp11	protein_coding	chr10	75923222	75936496	13274	-	1000	636	747	837
108	ENSMUSG00000000902.13	Smarcb1	protein_coding	chr10	75896769	75921617	24848	-	3488	4131	2885	2822
109	ENSMUSG00000000915.15	Hip1r	protein_coding	chr5	123973628	124005558	31930	+	2354	2122	2112	2064
110	ENSMUSG00000000916.15	Nsun5	protein_coding	chr5	135369953	135376805	6852	+	541	834	414	411
111	ENSMUSG00000000934.9	Top1mt	protein_coding	chr15	75657035	75678800	21765	-	384	876	552	578
112	ENSMUSG00000000938.11	Hoxa10	protein_coding	chr6	52231197	52240854	9657	-	3	3	4	2
113	ENSMUSG00000000942.10	Hoxa4	protein_coding	chr6	52189671	52191753	2082	-	3	3	7	6
114	ENSMUSG00000000948.16	Gm38393	protein_coding	chr7	59974149	60005064	30915	-	126	120	92	69
115	ENSMUSG00000000957.11	Mmp14	protein_coding	chr14	54431612	54445364	13752	+	9918	7149	9599	9909
116	ENSMUSG00000000958.10	Slc7a7	protein_coding	chr14	54369442	54417780	48338	-	230	253	210	239
117	ENSMUSG00000000959.7	Oxa1l	protein_coding	chr14	54360834	54369673	8839	+	1723	2078	1249	1286
118	ENSMUSG00000000976.13	Heatr6	protein_coding	chr11	83753696	83783754	30058	+	3037	2720	2157	2198
119	ENSMUSG00000000982.5	Ccl3	protein_coding	chr11	83647844	83649355	1511	-	14	4	19	18
120	ENSMUSG00000001016.12	Ilf2	protein_coding	chr3	90476126	90488379	12253	+	4975	7241	2648	2673
121	ENSMUSG00000001017.15	Chtop	protein_coding	chr3	90498956	90509498	10542	-	6816	7314	5188	5130
122	ENSMUSG00000001018.15	Snapin	protein_coding	chr3	90488026	90491033	3007	-	2354	2135	3067	3022
123	ENSMUSG00000001020.8	S100a4	protein_coding	chr3	90603771	90606045	2274	+	115	591	330	328
124	ENSMUSG00000001021.13	S100a3	protein_coding	chr3	90584659	90602702	18043	+	239	393	275	204
125	ENSMUSG00000001025.8	S100a6	protein_coding	chr3	90612882	90624181	11299	+	48248	98178	51203	53224
126	ENSMUSG00000001027.7	Scn4a	protein_coding	chr11	106318592	106353288	34696	-	6	3	7	8
127	ENSMUSG00000001034.17	Mapk7	protein_coding	chr11	61488812	61494406	5594	-	2241	2591	2260	2199
128	ENSMUSG00000001036.17	Epn2	protein_coding	chr11	61517249	61579687	62438	-	6883	8753	5641	5339
129	ENSMUSG00000001039.12	B9d1	protein_coding	chr11	61505144	61512931	7787	+	235	544	223	223
130	ENSMUSG00000001052.15	Sec24b	protein_coding	chr3	129982759	130061553	78794	-	7078	6900	7093	7019
131	ENSMUSG00000001053.15	N4bp3	protein_coding	chr11	51643063	51650842	7779	-	208	262	74	73
132	ENSMUSG00000001054.9	Rmnd5b	protein_coding	chr11	51623671	51635896	12225	-	1459	1592	1348	1342
133	ENSMUSG00000001056.3	Nhp2	protein_coding	chr11	51619735	51623714	3979	+	6106	9524	3918	4270
134	ENSMUSG00000001062.18	Vps9d1	protein_coding	chr8	123242356	123254348	11992	-	477	516	566	578
135	ENSMUSG00000001065.15	Zfp276	protein_coding	chr8	123254195	123269745	15550	+	634	446	723	653
136	ENSMUSG00000001082.12	Mfsd10	protein_coding	chr5	34633642	34637212	3570	-	3398	2979	2430	2318
137	ENSMUSG00000001089.14	Luzp1	protein_coding	chr4	136469761	136554780	85019	+	10073	6395	6074	5891
138	ENSMUSG00000001098.15	Kctd10	protein_coding	chr5	114363567	114380508	16941	-	7218	7301	2913	3005
139	ENSMUSG00000001100.10	Poldip2	protein_coding	chr11	78512193	78522736	10543	+	4906	5834	3879	3837
140	ENSMUSG00000001105.15	Ift20	protein_coding	chr11	78536361	78541737	5376	+	1460	1260	1329	1421
141	ENSMUSG00000001119.7	Col6a1	protein_coding	chr10	76708792	76726168	17376	-	1538	1412	1919	1764
142	ENSMUSG00000001120.15	Pcbp3	protein_coding	chr10	76761857	76961887	200030	-	375	641	465	482
143	ENSMUSG00000001123.15	Lgals9	protein_coding	chr11	78962974	78984946	21972	-	10362	7944	8311	8403
144	ENSMUSG00000001127.12	Araf	protein_coding	chrX	20797814	20860519	62705	+	3953	4197	2754	2660
145	ENSMUSG00000001128.7	Cfp	protein_coding	chrX	20925454	20931555	6101	-	72	113	51	65
146	ENSMUSG00000001131.11	Timp1	protein_coding	chrX	20870166	20874735	4569	+	2048	3577	1487	1395
147	ENSMUSG00000001134.9	Uxt	protein_coding	chrX	20941722	20962017	20295	-	355	381	235	269
148	ENSMUSG00000001138.13	Cnnm3	protein_coding	chr1	36511867	36528237	16370	+	1397	1225	1050	1044
149	ENSMUSG00000001143.13	Lman2l	protein_coding	chr1	36419871	36445271	25400	-	961	1223	679	692
150	ENSMUSG00000001150.7	Mcm3ap	protein_coding	chr10	76468927	76515857	46930	+	4185	5518	3046	3170
151	ENSMUSG00000001151.10	Pcnt	protein_coding	chr10	76351263	76442786	91523	-	2672	3812	1277	1321
152	ENSMUSG00000001155.13	Ftcd	protein_coding	chr10	76575648	76590338	14690	+	2	4	5	2
153	ENSMUSG00000001156.9	Mxd1	protein_coding	chr6	86647042	86669161	22119	-	540	313	544	466
154	ENSMUSG00000001157.13	Gmcl1	protein_coding	chr6	86691768	86733383	41615	-	1902	2017	1400	1536
155	ENSMUSG00000001158.13	Snrnp27	protein_coding	chr6	86675151	86684522	9371	-	1307	1496	1106	1224
156	ENSMUSG00000001166.17	Oas1c	protein_coding	chr5	120800194	120812514	12320	-	4	5	8	12
157	ENSMUSG00000001173.15	Ocrl	protein_coding	chrX	47912387	47965868	53481	+	1976	3053	2295	2040
158	ENSMUSG00000001175.15	Calm1	protein_coding	chr12	100199435	100209814	10379	+	46575	53020	27536	27721
159	ENSMUSG00000001211.15	Agpat3	protein_coding	chr10	78269178	78352489	83311	-	6954	7591	6170	6079
160	ENSMUSG00000001227.12	Sema6b	protein_coding	chr17	56123085	56140343	17258	-	272	431	261	215
161	ENSMUSG00000001228.14	Uhrf1	protein_coding	chr17	56303321	56323486	20165	+	6214	11533	1691	1749
162	ENSMUSG00000001229.9	Dpp9	protein_coding	chr17	56186807	56218905	32098	-	4986	5681	4614	4570
163	ENSMUSG00000001247.16	Lsr	protein_coding	chr7	30957770	30973464	15694	-	2980	2399	2133	2266
164	ENSMUSG00000001248.15	Gramd1a	protein_coding	chr7	31130127	31155896	25769	-	20	8	10	16
165	ENSMUSG00000001270.9	Ckb	protein_coding	chr12	111669361	111672338	2977	-	28	11	41	50
166	ENSMUSG00000001280.13	Sp1	protein_coding	chr15	102406143	102436404	30261	+	5778	7233	4066	4025
167	ENSMUSG00000001281.10	Itgb7	protein_coding	chr15	102215995	102231944	15949	-	262	2194	150	162
168	ENSMUSG00000001285.12	Myg1	protein_coding	chr15	102331709	102338139	6430	+	1242	2006	953	955
169	ENSMUSG00000001288.15	Rarg	protein_coding	chr15	102234938	102257517	22579	-	1543	1934	1440	1311
170	ENSMUSG00000001289.12	Pfdn5	protein_coding	chr15	102326116	102331873	5757	+	3065	3177	2925	3286
171	ENSMUSG00000001300.16	Efnb2	protein_coding	chr8	8617434	8661242	43808	-	2257	6325	3594	3667
172	ENSMUSG00000001305.5	Rrp15	protein_coding	chr1	186720978	186749358	28380	-	2236	3027	1948	1944
173	ENSMUSG00000001313.12	Rnd2	protein_coding	chr11	101464999	101471853	6854	+	358	280	409	361
174	ENSMUSG00000001323.17	Srr	protein_coding	chr11	74906359	74925948	19589	-	329	451	320	320
175	ENSMUSG00000001333.9	Sync	protein_coding	chr4	129287617	129308559	20942	+	6	12	3	5
176	ENSMUSG00000001349.5	Cnn1	protein_coding	chr9	22099216	22109630	10414	+	221	195	623	584
177	ENSMUSG00000001366.14	Fbxo9	protein_coding	chr9	78081499	78109065	27566	-	1032	1217	841	806
178	ENSMUSG00000001376.17	Vps50	protein_coding	chr6	3498382	3603531	105149	+	3659	3171	3621	3744
179	ENSMUSG00000001380.7	Hars	protein_coding	chr18	36766528	36783205	16677	-	5584	7344	4434	4348
180	ENSMUSG00000001383.9	Zmat2	protein_coding	chr18	36793876	36799666	5790	+	3804	4727	3187	3138
181	ENSMUSG00000001403.13	Ube2c	protein_coding	chr2	164769898	164778822	8924	+	5060	7873	1084	1028
182	ENSMUSG00000001415.10	Smg5	protein_coding	chr3	88336260	88362338	26078	+	6523	7712	4983	4908
183	ENSMUSG00000001416.13	Cct3	protein_coding	chr3	88297116	88321767	24651	+	28321	39494	23614	24058
184	ENSMUSG00000001418.13	Glmp	protein_coding	chr3	88325023	88331313	6290	+	9979	5670	10356	10657
185	ENSMUSG00000001419.17	Mef2d	protein_coding	chr3	88142372	88172086	29714	+	5744	6657	11818	11084
186	ENSMUSG00000001420.13	Tmem79	protein_coding	chr3	88328655	88336148	7493	-	160	190	112	139
187	ENSMUSG00000001424.14	Snd1	protein_coding	chr6	28475139	28935162	460023	+	9389	11804	7394	7204
188	ENSMUSG00000001435.15	Col18a1	protein_coding	chr10	77052178	77166548	114370	-	39381	36556	41610	40849
189	ENSMUSG00000001436.15	Slc19a1	protein_coding	chr10	77032241	77061002	28761	+	1086	1592	713	700
190	ENSMUSG00000001440.5	Kpnb1	protein_coding	chr11	97159714	97187881	28167	-	49602	61172	40907	41420
191	ENSMUSG00000001441.13	Npepps	protein_coding	chr11	97205842	97280638	74796	-	18192	15315	11829	12150
192	ENSMUSG00000001445.10	Mrpl10	protein_coding	chr11	97041560	97049213	7653	+	2136	2427	865	809
193	ENSMUSG00000001467.5	Cyp51	protein_coding	chr5	4081145	4104746	23601	-	7178	8332	5957	6003
194	ENSMUSG00000001472.17	Tcf25	protein_coding	chr8	123373753	123403835	30082	+	8860	8108	9087	8870
195	ENSMUSG00000001473.7	Tubb6	protein_coding	chr18	67390717	67402749	12032	+	8569	16228	8025	7614
196	ENSMUSG00000001482.15	Def8	protein_coding	chr8	123423527	123463270	39743	+	1771	2227	1750	1672
197	ENSMUSG00000001493.9	Meox1	protein_coding	chr11	101877510	101894374	16864	-	69	62	37	33
198	ENSMUSG00000001497.18	Pax9	protein_coding	chr12	56691767	56712822	21055	+	31	41	74	66
199	ENSMUSG00000001506.10	Col1a1	protein_coding	chr11	94936224	94953042	16818	+	349	211	393	362
200	ENSMUSG00000001507.16	Itga3	protein_coding	chr11	95044474	95076801	32327	-	36709	44929	24811	23401
201	ENSMUSG00000001508.15	Sgca	protein_coding	chr11	94962791	94976327	13536	-	1	7	1	1
202	ENSMUSG00000001510.8	Dlx3	protein_coding	chr11	95120119	95125296	5177	+	19	48	17	16
203	ENSMUSG00000001517.14	Foxm1	protein_coding	chr6	128362967	128376146	13179	+	6246	8113	1665	1578
204	ENSMUSG00000001518.12	Itfg2	protein_coding	chr6	128409444	128424931	15487	-	757	939	604	613
205	ENSMUSG00000001520.12	Nrip2	protein_coding	chr6	128399296	128416427	17131	+	118	159	131	111
206	ENSMUSG00000001521.12	Tulp3	protein_coding	chr6	128321161	128355851	34690	-	2486	2463	2608	2444
207	ENSMUSG00000001524.14	Gtf2h4	protein_coding	chr17	35667730	35673739	6009	-	902	1318	860	888
208	ENSMUSG00000001525.10	Tubb5	protein_coding	chr17	35833921	35838306	4385	-	81434	114710	61996	62204
209	ENSMUSG00000001542.7	Ell2	protein_coding	chr13	75706757	75772364	65607	+	5621	4442	2710	2576
210	ENSMUSG00000001552.14	Jup	protein_coding	chr11	100368958	100397763	28805	-	12903	10091	11864	11065
211	ENSMUSG00000001555.10	Fkbp10	protein_coding	chr11	100415697	100424824	9127	+	2	4	4	4
212	ENSMUSG00000001558.5	Klhl10	protein_coding	chr11	100441917	100457022	15105	+	10	15	4	11
213	ENSMUSG00000001569.10	Nom1	protein_coding	chr5	29434664	29457843	23179	+	3386	3494	2455	2568
214	ENSMUSG00000001576.15	Ergic1	protein_coding	chr17	26561489	26656934	95445	+	17210	19062	13485	12705
215	ENSMUSG00000001583.13	Tnk1	protein_coding	chr11	69851005	69858730	7725	-	2	2	1	2
216	ENSMUSG00000001588.12	Acap1	protein_coding	chr11	69881567	69895539	13972	-	4	16	7	7
217	ENSMUSG00000001622.15	Csn3	protein_coding	chr5	87925579	87932665	7086	+	90	50	186	162
218	ENSMUSG00000001627.12	Ifrd1	protein_coding	chr12	40201567	40248504	46937	-	8914	7491	5713	5519
219	ENSMUSG00000001630.13	Stk38l	protein_coding	chr6	146724995	146778812	53817	+	1887	1170	3052	3157
220	ENSMUSG00000001632.16	Brpf1	protein_coding	chr6	113307137	113324860	17723	+	2290	2443	2061	1973
221	ENSMUSG00000001642.18	Akr1b3	protein_coding	chr6	34302434	34317478	15044	-	5367	7173	2732	2406
222	ENSMUSG00000001666.8	Ddt	protein_coding	chr10	75771230	75773414	2184	-	531	274	292	256
223	ENSMUSG00000001670.13	Tat	protein_coding	chr8	109990437	109999803	9366	+	3	4	12	7
224	ENSMUSG00000001672.14	Marveld3	protein_coding	chr8	109947914	109962203	14289	-	6	9	8	8
225	ENSMUSG00000001674.11	Ddx18	protein_coding	chr1	121553835	121567989	14154	-	2120	3287	1439	1359
226	ENSMUSG00000001687.15	Ubl3	protein_coding	chr5	148504635	148552789	48154	-	6436	8075	8154	8101
227	ENSMUSG00000001700.10	Gramd3	protein_coding	chr18	56400337	56503792	103455	+	1448	739	1100	1047
228	ENSMUSG00000001707.8	Eef1e1	protein_coding	chr13	38644207	38659058	14851	-	3108	3996	3437	3336
229	ENSMUSG00000001729.14	Akt1	protein_coding	chr12	112653821	112674884	21063	-	18102	23147	24327	23608
230	ENSMUSG00000001739.14	Cldn15	protein_coding	chr5	136966616	136975858	9242	+	21	47	14	14
231	ENSMUSG00000001741.12	Il16	protein_coding	chr7	83642825	83745726	102901	-	2	3	9	1
232	ENSMUSG00000001750.16	Tcirg1	protein_coding	chr19	3896050	3907133	11083	-	7179	7628	5713	5348
233	ENSMUSG00000001751.9	Naglu	protein_coding	chr11	101070012	101077672	7660	+	2373	1908	2000	1960
234	ENSMUSG00000001755.12	Coasy	protein_coding	chr11	101082565	101086619	4054	+	1772	2077	1626	1686
235	ENSMUSG00000001761.7	Smo	protein_coding	chr6	29735503	29761365	25862	+	3688	5659	3955	3979
236	ENSMUSG00000001763.14	Tspan33	protein_coding	chr6	29694222	29718559	24337	+	85	129	87	97
237	ENSMUSG00000001767.5	Crnkl1	protein_coding	chr2	145917479	145935014	17535	-	3749	3765	3086	3154
238	ENSMUSG00000001768.16	Rin2	protein_coding	chr2	145675215	145887616	212401	+	2429	942	763	811
239	ENSMUSG00000001774.8	Chordc1	protein_coding	chr9	18292125	18317442	25317	+	5715	7910	5095	5125
240	ENSMUSG00000001783.3	Rtcb	protein_coding	chr10	85938637	85957823	19186	-	7757	9466	7387	7826
241	ENSMUSG00000001785.13	Pwp1	protein_coding	chr10	85829494	85889096	59602	+	3283	4389	2888	2861
242	ENSMUSG00000001786.14	Fbxo7	protein_coding	chr10	86021972	86051873	29901	+	786	996	580	538
243	ENSMUSG00000001794.13	Capns1	protein_coding	chr7	30186936	30198811	11875	-	11138	11197	6009	6085
244	ENSMUSG00000001802.16	Lrp3	protein_coding	chr7	35200027	35215498	15471	-	19	7	20	30
245	ENSMUSG00000001804.9	Dsg4	protein_coding	chr18	20436175	20471821	35646	+	25	16	17	23
246	ENSMUSG00000001827.12	Folr1	protein_coding	chr7	101858331	101870788	12457	-	5	6	77	56
247	ENSMUSG00000001829.17	Clpb	protein_coding	chr7	101663633	101795506	131873	+	2165	2970	1778	1831
248	ENSMUSG00000001833.17	Sept7	protein_coding	chr9	25252439	25308571	56132	+	20229	23879	12911	12948
249	ENSMUSG00000001844.10	Zdhhc4	protein_coding	chr5	143316489	143329256	12767	-	794	795	905	905
250	ENSMUSG00000001847.14	Rac1	protein_coding	chr5	143503634	143528036	24402	-	14279	14333	15119	15047
251	ENSMUSG00000001855.15	Nup214	protein_coding	chr2	31974436	32053975	79539	+	4626	5787	3365	3142
